<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19950519,000000,7.18618,7.18618,7.18618,7.18618,84421.753362364,0
CDR,D,19950522,000000,6.70277,6.70277,6.70277,6.70277,100838.63270332,0
CDR,D,19950523,000000,6.04268,6.04268,6.04268,6.04268,94971.139312326,0
CDR,D,19950524,000000,6.61911,6.61911,6.61911,6.61911,31716.873469046,0
CDR,D,19950525,000000,7.26058,7.26058,7.26058,7.26058,121181.53279252,0
CDR,D,19950526,000000,7.13032,7.13032,7.13032,7.13032,71006.823532933,0
CDR,D,19950529,000000,7.13032,7.13032,7.13032,7.13032,41890.887529287,0
CDR,D,19950530,000000,6.81431,6.81431,6.81431,6.81431,53332.550922033,0
CDR,D,19950531,000000,6.15431,6.15431,6.15431,6.15431,52478.220910725,0
CDR,D,19950601,000000,6.07992,6.07992,6.07992,6.07992,67544.376812432,0
CDR,D,19950602,000000,6.17284,6.17284,6.17284,6.17284,83652.548670309,0
CDR,D,19950605,000000,6.36814,6.36814,6.36814,6.36814,41060.146461868,0
CDR,D,19950606,000000,6.65626,6.65626,6.65626,6.65626,76050.755100298,0
CDR,D,19950607,000000,6.85156,6.85156,6.85156,6.85156,82502.844057251,0
CDR,D,19950608,000000,6.65626,6.65626,6.65626,6.65626,40166.843412829,0
CDR,D,19950609,000000,6.47032,6.47032,6.47032,6.47032,34491.138391723,0
CDR,D,19950612,000000,6.09844,6.09844,6.09844,6.09844,66839.785314509,0
CDR,D,19950613,000000,6.27511,6.27511,6.27511,6.27511,53174.607558598,0
CDR,D,19950614,000000,6.47032,6.47032,6.47032,6.47032,68824.33342001,0
CDR,D,19950616,000000,6.07992,6.07992,6.07992,6.07992,51007.501539517,0
CDR,D,19950619,000000,6.07992,6.07992,6.07992,6.07992,28300.579030069,0
CDR,D,19950620,000000,6.27511,6.27511,6.27511,6.27511,39459.175096139,0
CDR,D,19950621,000000,6.27511,6.27511,6.27511,6.27511,20093.677768975,0
CDR,D,19950622,000000,6.17284,6.17284,6.17284,6.17284,20890.573829944,0
CDR,D,19950623,000000,6.31226,6.31226,6.31226,6.31226,15210.766383813,0
CDR,D,19950626,000000,6.63764,6.63764,6.63764,6.63764,45851.77889024,0
CDR,D,19950627,000000,6.65626,6.65626,6.65626,6.65626,56682.180954367,0
CDR,D,19950628,000000,6.11716,6.11716,6.11716,6.11716,29509.768805978,0
CDR,D,19950629,000000,6.27511,6.27511,6.27511,6.27511,77254.816844927,0
CDR,D,19950630,000000,6.27511,6.27511,6.27511,6.27511,91444.079397692,0
CDR,D,19950703,000000,6.36814,6.36814,6.36814,6.36814,69478.670211385,0
CDR,D,19950704,000000,6.13569,6.13569,6.13569,6.13569,27948.796084235,0
CDR,D,19950705,000000,5.88472,5.88472,5.88472,5.88472,61786.62329084,0
CDR,D,19950706,000000,5.88472,5.88472,5.88472,5.88472,75555.387278616,0
CDR,D,19950707,000000,5.94049,5.94049,5.94049,5.94049,45611.787026318,0
CDR,D,19950710,000000,5.35479,5.35479,5.35479,5.35479,247248.02818272,0
CDR,D,19950711,000000,5.45707,5.45707,5.45707,5.45707,75510.260603348,0
CDR,D,19950712,000000,5.29901,5.29901,5.29901,5.29901,61596.886133467,0
CDR,D,19950713,000000,5.41983,5.41983,5.41983,5.41983,34980.35257587,0
CDR,D,19950714,000000,5.41983,5.41983,5.41983,5.41983,34609.083111171,0
CDR,D,19950717,000000,5.56851,5.56851,5.56851,5.56851,35531.103135381,0
CDR,D,19950718,000000,5.54988,5.54988,5.54988,5.54988,108946.05015758,0
CDR,D,19950719,000000,5.47559,5.47559,5.47559,5.47559,38444.850508883,0
CDR,D,19950720,000000,5.31754,5.31754,5.31754,5.31754,64848.057965217,0
CDR,D,19950721,000000,5.18737,5.18737,5.18737,5.18737,106572.79728102,0
CDR,D,19950724,000000,4.88988,4.88988,4.88988,4.88988,102390.37496876,0
CDR,D,19950725,000000,5.01089,5.01089,5.01089,5.01089,142531.57822518,0
CDR,D,19950726,000000,5.01089,5.01089,5.01089,5.01089,94222.446745393,0
CDR,D,19950727,000000,5.51274,5.51274,5.51274,5.51274,320526.56957284,0
CDR,D,19950728,000000,6.06129,6.06129,6.06129,6.06129,440327.63634469,0
CDR,D,19950731,000000,5.70804,5.70804,5.70804,5.70804,127792.59071916,0
CDR,D,19950801,000000,5.68941,5.68941,5.68941,5.68941,173313.09878869,0
CDR,D,19950802,000000,5.78243,5.78243,5.78243,5.78243,125468.5669429,0
CDR,D,19950803,000000,5.65216,5.65216,5.65216,5.65216,76723.552804282,0
CDR,D,19950804,000000,5.54988,5.54988,5.54988,5.54988,21519.270464916,0
CDR,D,19950807,000000,5.5965,5.5965,5.5965,5.5965,71260.148278183,0
CDR,D,19950808,000000,5.33616,5.33616,5.33616,5.33616,30527.170212002,0
CDR,D,19950809,000000,5.28039,5.28039,5.28039,5.28039,64374.227874911,0
CDR,D,19950810,000000,5.53136,5.53136,5.53136,5.53136,102912.4085531,0
CDR,D,19950811,000000,5.49421,5.49421,5.49421,5.49421,70338.128253974,0
CDR,D,19950816,000000,5.67089,5.67089,5.67089,5.67089,92157.901351919,0
CDR,D,19950817,000000,5.67089,5.67089,5.67089,5.67089,73811.856643292,0
CDR,D,19950818,000000,5.67089,5.67089,5.67089,5.67089,70725.807418769,0
CDR,D,19950821,000000,5.45707,5.45707,5.45707,5.45707,19242.424576435,0
CDR,D,19950822,000000,5.68941,5.68941,5.68941,5.68941,165403.62334185,0
CDR,D,19950823,000000,5.68941,5.68941,5.68941,5.68941,89205.180940686,0
CDR,D,19950824,000000,5.63365,5.63365,5.63365,5.63365,33562.964729977,0
CDR,D,19950825,000000,5.67089,5.67089,5.67089,5.67089,46033.311197565,0
CDR,D,19950828,000000,5.88472,5.88472,5.88472,5.88472,87704.718988052,0
CDR,D,19950829,000000,5.97764,5.97764,5.97764,5.97764,139374.76216899,0
CDR,D,19950830,000000,5.97764,5.97764,5.97764,5.97764,92219.437727284,0
CDR,D,19950831,000000,5.97764,5.97764,5.97764,5.97764,134440.57047103,0
CDR,D,19950901,000000,6.07992,6.07992,6.07992,6.07992,107856.85631362,0
CDR,D,19950904,000000,6.36814,6.36814,6.36814,6.36814,122475.84788769,0
CDR,D,19950905,000000,6.52608,6.52608,6.52608,6.52608,185620.37386156,0
CDR,D,19950906,000000,6.56333,6.56333,6.56333,6.56333,107348.15561062,0
CDR,D,19950907,000000,6.65626,6.65626,6.65626,6.65626,156534.18043935,0
CDR,D,19950908,000000,6.93511,6.93511,6.93511,6.93511,146859.63662581,0
CDR,D,19950911,000000,7.26058,7.26058,7.26058,7.26058,183490.1896677,0
